"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2016-06-30,"Elmhurst","CA","Sacramento","Sacramento","Sacramento",5363,1627,0.00930521091811414,0.0422805893657912,0.0956228956228956,1024
2016-06-30,"Heritage Heights","WI","Milwaukee","Milwaukee","Milwaukee",5364,2050,0.00885826771653543,0.0327455919395466,-0.0106177606177606,196
2016-06-30,"School","CA","San Francisco","Alameda","Oakland",5365,2599,0.00932038834951456,0.026866851047017,0.190018315018315,340
2016-06-30,"North Midtown","MS","Jackson","Hinds","Jackson",5366,774,0.0091264667535854,0.0559345156889495,0.0292553191489362,641
2016-06-30,"Ridgeview Estates","CA","Bakersfield","Kern","Bakersfield",5367,1279,-0.00311769290724864,-0.0108275328692962,-0.00078125,579
2016-06-30,"South Hill","WA","Bellingham","Whatcom","Bellingham",5368,1714,-0.0155083285468122,-0.0556473829201102,0.00823529411764706,1914
2016-06-30,"Holdeman","AZ","Phoenix","Maricopa","Tempe",5369,1324,0.0099160945842868,0.034375,0.0626003210272873,514
2016-06-30,"Story Hill","WI","Milwaukee","Milwaukee","Milwaukee",5370,1337,0.00300075018754689,0.0229533282325937,0.0404669260700389,583
2016-06-30,"Hyde Park","MO","St. Louis","Saint Louis City","Saint Louis",5371,762,-0.00261780104712042,-0.00131061598951507,0.00263157894736842,1326
2016-06-30,"Carter Park","WA","Portland","Clark","Vancouver",5372,1488,0.00269541778975741,0.00813008130081301,0.0743682310469314,800
2016-06-30,"Oak Park Southwest","MO","Kansas City","Jackson","Kansas City",5373,712,-0.0124826629680999,-0.0152143845089903,0.0244604316546763,1082
2016-06-30,"Pasadena Bear Creek Estates","FL","Tampa","Pinellas","Saint Petersburg",5374,1228,0.00408830744071954,0.0207813798836243,0.05770887166236,702
2016-06-30,"South Kennedy Tract","CA","San Francisco","Alameda","Oakland",5375,2748,0.0140221402214022,0.0488549618320611,0.1005206247497,426
2016-06-30,"Downtown","NY","Syracuse","Onondaga","Syracuse",5376,1612,0.015752993068683,0.0718085106382979,0.245749613601236,140
2016-06-30,"Signal Hill","FL","Orlando","Orange","Orlando",5377,1059,-0.00563380281690141,-0.00469924812030075,0.0940082644628099,989
2016-06-30,"Bayridge","MS","Jackson","Hinds","Jackson",5378,1206,-0.00822368421052632,0.00249376558603491,-0.0289855072463768,112
2016-06-30,"Blue Vue Hills","MO","Kansas City","Jackson","Kansas City",5379,1188,-0.00168067226890756,0.0145175064047822,0.0839416058394161,618
2016-06-30,"White Manor","WI","Milwaukee","Milwaukee","Milwaukee",5380,1176,0.00255754475703325,0.027972027972028,-0.00338983050847458,616
2016-06-30,"Wood Park","AZ","Phoenix","Maricopa","Tempe",5381,1208,-0.000827129859387924,0.00750625521267723,0.0369098712446352,451
2016-06-30,"N Campus","NM","Albuquerque","Bernalillo","Albuquerque",5382,1242,0.00242130750605327,0.0155355682747343,0.00648298217179903,704
2016-06-30,"Woodhaven","MS","Jackson","Hinds","Jackson",5383,1210,0,0.0210970464135021,0.0341880341880342,537
2016-06-30,"Lavaca","TX","San Antonio","Bexar","San Antonio",5384,1357,0.0249244712990937,0.0446497305619707,0.0264750378214826,613
2016-06-30,"Osceola Forest","FL","Jacksonville","Duval","Jacksonville",5385,1030,0.00194552529182879,0.000971817298347911,0.0177865612648221,718
